id,name,address,phone,website,latitude,longitude,specialty,rating,operating_hours,description
1,서울대학교병원,서울특별시 종로구 대학로 101,02-2072-0114,https://www.snuh.org,37.5665,126.9780,종합병원,4.8,24시간,국내 최고의 종합병원으로 최신 의료기술과 우수한 의료진을 보유
2,연세대학교세브란스병원,서울특별시 서대문구 연세로 50-1,02-2228-5800,https://www.severance.healthcare,37.5642,126.9369,종합병원,4.7,24시간,세계적인 의료진과 최첨단 의료장비를 갖춘 종합병원
3,고려대학교병원,서울특별시 성북구 고려대로 73,02-920-5114,https://www.kumc.or.kr,37.5894,127.0167,종합병원,4.6,24시간,최신 의료장비와 우수한 의료진이 환자 중심의 진료를 제공
4,삼성서울병원,서울특별시 강남구 일원로 81,02-3410-1114,https://www.samsunghospital.com,37.4876,127.0874,종합병원,4.9,24시간,최첨단 의료기술과 환자 중심의 의료서비스를 제공하는 종합병원
5,아산병원,서울특별시 송파구 올림픽로 43길 88,02-3010-3114,https://www.amc.seoul.kr,37.5275,127.1046,종합병원,4.8,24시간,최고의 의료진과 장비로 환자에게 최상의 의료서비스 제공
6,국립암센터,경기도 고양시 일산동구 일산로 323,031-920-0114,https://www.ncc.re.kr,37.6584,126.7698,암전문병원,4.9,09:00-18:00,국내 최고의 암 전문병원으로 암 치료의 새로운 기준을 제시
7,서울아산병원 암센터,서울특별시 송파구 올림픽로 43길 88,02-3010-3114,https://www.amc.seoul.kr,37.5275,127.1046,암전문병원,4.8,09:00-18:00,종합암센터로 암 진단부터 치료까지 원스톱 서비스 제공
8,서울대학교병원 암센터,서울특별시 종로구 대학로 101,02-2072-0114,https://www.snuh.org,37.5665,126.9780,암전문병원,4.7,09:00-18:00,최신 암 치료 기술과 연구를 바탕으로 한 전문적인 암 치료
9,성모병원,서울특별시 서초구 반포대로 222,02-1588-5700,https://www.cmcseoul.or.kr,37.5025,127.0039,종합병원,4.6,24시간,가톨릭 정신을 바탕으로 한 인간 존중의 의료서비스 제공
10,한양대학교병원,서울특별시 성동구 왕십리로 222-1,02-2290-8114,https://www.hanyang.or.kr,37.5556,127.0444,종합병원,4.5,24시간,최신 의료기술과 따뜻한 마음으로 환자를 치료하는 병원
11,경희대학교병원,서울특별시 동대문구 경희대로 23,02-958-8114,https://www.khu.ac.kr,37.5944,127.0528,종합병원,4.5,24시간,전통의학과 현대의학의 조화로운 의료서비스 제공
12,중앙대학교병원,서울특별시 동작구 흑석로 102,02-6299-1514,https://www.cau.ac.kr,37.5069,126.9575,종합병원,4.4,24시간,환자 중심의 의료서비스와 최신 의료기술을 제공하는 종합병원
13,건국대학교병원,서울특별시 광진구 능동로 120,02-2030-5000,https://www.konkuk.ac.kr,37.5403,127.0822,종합병원,4.4,24시간,최신 의료장비와 우수한 의료진으로 환자에게 최상의 치료 제공
14,동국대학교병원,서울특별시 중구 필동로 1길 30,02-2260-3114,https://www.dguh.co.kr,37.5583,127.0039,종합병원,4.3,24시간,전통과 현대가 조화를 이룬 의료서비스 제공
15,단국대학교병원,경기도 용인시 수지구 단국대로 201,031-800-5114,https://www.dankook.ac.kr,37.3219,127.1089,종합병원,4.3,24시간,최신 의료기술과 따뜻한 마음으로 환자를 치료하는 병원
16,가톨릭대학교성모병원,서울특별시 영등포구 여의대로 56,02-3779-1114,https://www.cmcseoul.or.kr,37.5219,126.9244,종합병원,4.6,24시간,가톨릭 정신을 바탕으로 한 인간 존중의 의료서비스
17,가톨릭대학교강남성모병원,서울특별시 강남구 테헤란로 427,02-2019-3114,https://www.cmcseoul.or.kr,37.5019,127.0375,종합병원,4.5,24시간,최신 의료기술과 가톨릭 정신을 바탕으로 한 의료서비스
18,가톨릭대학교여의도성모병원,서울특별시 영등포구 여의대로 56,02-3779-1114,https://www.cmcseoul.or.kr,37.5219,126.9244,종합병원,4.5,24시간,여의도 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
19,가톨릭대학교부천성모병원,경기도 부천시 원미구 지봉로 327,032-340-7000,https://www.cmcseoul.or.kr,37.5036,126.7660,종합병원,4.4,24시간,부천 지역의 대표적인 종합병원으로 최신 의료기술 제공
20,가톨릭대학교인천성모병원,인천광역시 중구 개항로 56,032-280-5000,https://www.cmcseoul.or.kr,37.4561,126.7052,종합병원,4.4,24시간,인천 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
21,순천향대학교병원,서울특별시 강남구 테헤란로 221,02-709-9000,https://www.schmc.ac.kr,37.5019,127.0375,종합병원,4.3,24시간,최신 의료기술과 환자 중심의 의료서비스 제공
22,순천향대학교부천병원,경기도 부천시 원미구 지봉로 170,032-621-5100,https://www.schmc.ac.kr,37.5036,126.7660,종합병원,4.3,24시간,부천 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
23,순천향대학교천안병원,충청남도 천안시 동남구 병천면 충절로 1600,041-570-2114,https://www.schmc.ac.kr,36.8154,127.1139,종합병원,4.2,24시간,천안 지역의 대표적인 종합병원으로 최신 의료기술 제공
24,전남대학교병원,광주광역시 동구 제봉로 42,062-220-3114,https://www.cnuh.co.kr,35.1595,126.8526,종합병원,4.5,24시간,전남 지역의 대표적인 종합병원으로 최신 의료기술과 우수한 의료진 보유
25,전북대학교병원,전라북도 전주시 완산구 덕진구 2가 20,063-259-1114,https://www.jbnu.ac.kr,35.8242,127.1480,종합병원,4.4,24시간,전북 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
26,충남대학교병원,대전광역시 중구 대학로 99,042-220-3114,https://www.cnu.ac.kr,36.3744,127.3725,종합병원,4.4,24시간,충남 지역의 대표적인 종합병원으로 최신 의료기술 제공
27,충북대학교병원,충청북도 청주시 서원구 충대로 1,043-269-5114,https://www.cbu.ac.kr,36.6294,127.4608,종합병원,4.3,24시간,충북 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
28,경북대학교병원,대구광역시 중구 동덕로 130,053-200-2114,https://www.knu.ac.kr,35.8714,128.6014,종합병원,4.5,24시간,경북 지역의 대표적인 종합병원으로 최신 의료기술과 우수한 의료진 보유
29,경남대학교병원,경상남도 창원시 의창구 창원대로 150,055-249-2000,https://www.kyungnam.ac.kr,35.2278,128.6817,종합병원,4.3,24시간,경남 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
30,부산대학교병원,부산광역시 양산시 물금읍 물금로 20,055-360-2114,https://www.pnu.ac.kr,35.3200,129.0089,종합병원,4.6,24시간,부산 지역의 대표적인 종합병원으로 최신 의료기술과 우수한 의료진 보유
31,울산대학교병원,울산광역시 남구 삼산로 877,052-250-7114,https://www.ulsan.ac.kr,35.5384,129.3114,종합병원,4.4,24시간,울산 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
32,제주대학교병원,제주특별자치도 제주시 아라일동 632-43,064-717-1114,https://www.jejunu.ac.kr,33.4996,126.5312,종합병원,4.2,24시간,제주 지역의 대표적인 종합병원으로 최신 의료기술 제공
33,강남성모병원,서울특별시 강남구 테헤란로 427,02-2019-3114,https://www.cmcseoul.or.kr,37.5019,127.0375,종합병원,4.5,24시간,강남 지역의 대표적인 종합병원으로 최신 의료기술 제공
34,여의도성모병원,서울특별시 영등포구 여의대로 56,02-3779-1114,https://www.cmcseoul.or.kr,37.5219,126.9244,종합병원,4.5,24시간,여의도 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
35,부천성모병원,경기도 부천시 원미구 지봉로 327,032-340-7000,https://www.cmcseoul.or.kr,37.5036,126.7660,종합병원,4.4,24시간,부천 지역의 대표적인 종합병원으로 최신 의료기술 제공
36,인천성모병원,인천광역시 중구 개항로 56,032-280-5000,https://www.cmcseoul.or.kr,37.4561,126.7052,종합병원,4.4,24시간,인천 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
37,부천병원,경기도 부천시 원미구 지봉로 170,032-621-5100,https://www.schmc.ac.kr,37.5036,126.7660,종합병원,4.3,24시간,부천 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
38,천안병원,충청남도 천안시 동남구 병천면 충절로 1600,041-570-2114,https://www.schmc.ac.kr,36.8154,127.1139,종합병원,4.2,24시간,천안 지역의 대표적인 종합병원으로 최신 의료기술 제공
39,전남대병원,광주광역시 동구 제봉로 42,062-220-3114,https://www.cnuh.co.kr,35.1595,126.8526,종합병원,4.5,24시간,전남 지역의 대표적인 종합병원으로 최신 의료기술과 우수한 의료진 보유
40,전북대병원,전라북도 전주시 완산구 덕진구 2가 20,063-259-1114,https://www.jbnu.ac.kr,35.8242,127.1480,종합병원,4.4,24시간,전북 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
41,충남대병원,대전광역시 중구 대학로 99,042-220-3114,https://www.cnu.ac.kr,36.3744,127.3725,종합병원,4.4,24시간,충남 지역의 대표적인 종합병원으로 최신 의료기술 제공
42,충북대병원,충청북도 청주시 서원구 충대로 1,043-269-5114,https://www.cbu.ac.kr,36.6294,127.4608,종합병원,4.3,24시간,충북 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
43,경북대병원,대구광역시 중구 동덕로 130,053-200-2114,https://www.knu.ac.kr,35.8714,128.6014,종합병원,4.5,24시간,경북 지역의 대표적인 종합병원으로 최신 의료기술과 우수한 의료진 보유
44,경남대병원,경상남도 창원시 의창구 창원대로 150,055-249-2000,https://www.kyungnam.ac.kr,35.2278,128.6817,종합병원,4.3,24시간,경남 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
45,부산대병원,부산광역시 양산시 물금읍 물금로 20,055-360-2114,https://www.pnu.ac.kr,35.3200,129.0089,종합병원,4.6,24시간,부산 지역의 대표적인 종합병원으로 최신 의료기술과 우수한 의료진 보유
46,울산대병원,울산광역시 남구 삼산로 877,052-250-7114,https://www.ulsan.ac.kr,35.5384,129.3114,종합병원,4.4,24시간,울산 지역의 대표적인 종합병원으로 우수한 의료서비스 제공
47,제주대병원,제주특별자치도 제주시 아라일동 632-43,064-717-1114,https://www.jejunu.ac.kr,33.4996,126.5312,종합병원,4.2,24시간,제주 지역의 대표적인 종합병원으로 최신 의료기술 제공
48,서울피부과병원,서울특별시 강남구 테헤란로 427,02-2019-3114,https://www.seoulskin.com,37.5019,127.0375,피부과,4.3,09:00-18:00,피부 질환 전문 진료를 제공하는 피부과 전문병원
49,강남피부과병원,서울특별시 강남구 강남대로 456,02-1234-5678,https://www.gangnamskin.com,37.5019,127.0375,피부과,4.2,09:00-18:00,강남 지역의 대표적인 피부과 전문병원
50,서울내과병원,서울특별시 종로구 대학로 101,02-2072-0114,https://www.seoulinternal.com,37.5665,126.9780,내과,4.4,09:00-18:00,내과 질환 전문 진료를 제공하는 내과 전문병원
